campaign_id,date,platform,ad_type,target_audience,ad_spend,impressions,clicks,conversions,revenue,cpm,ctr,cvr,cpc,cpa,roas,hour,time_period
CMP_20240101_001,2024-01-01,Douyin,Brand Ad,55+ User,31939.63,1762636,26601,1563,701393.11,18.12,0.0151,0.0588,1.2,20.43,21.96,23,evening
CMP_20240101_002,2024-01-01,Xigua,Search Ad,18-25 Female,26381.96,976500,21663,2045,579900.62,27.02,0.0222,0.0944,1.22,12.9,21.98,11,morning
CMP_20240101_003,2024-01-01,Douyin,In-feed Ad,26-35 Male,32533.38,1828757,46109,5852,1796466.64,17.79,0.0252,0.1269,0.71,5.56,55.22,18,evening
CMP_20240101_004,2024-01-01,Xigua,Video Ad,55+ User,18469.65,717016,17219,1837,440477.82,25.76,0.024,0.1067,1.07,10.05,23.85,13,afternoon
CMP_20240101_005,2024-01-01,Toutiao,Splash Ad,18-25 Male,3590.75,228793,4922,319,104254.73,15.69,0.0215,0.0649,0.73,11.26,29.03,2,late night
CMP_20240101_006,2024-01-01,Toutiao,In-feed Ad,26-35 Female,9742.74,404501,12689,1299,479536.29,24.09,0.0314,0.1024,0.77,7.5,49.22,17,afternoon
CMP_20240101_007,2024-01-01,Toutiao,Video Ad,18-25 Female,17620.56,656833,18056,1022,304702.88,26.83,0.0275,0.0566,0.98,17.24,17.29,7,morning
CMP_20240101_008,2024-01-01,Douyin,Search Ad,18-25 Female,29286.15,1095422,40927,3386,569055.45,26.74,0.0374,0.0828,0.72,8.65,19.43,12,afternoon
CMP_20240101_009,2024-01-01,Douyin,In-feed Ad,46-55 User,24053.07,1050460,16864,1433,357938.26,22.9,0.0161,0.085,1.43,16.79,14.88,2,late night
CMP_20240101_010,2024-01-01,Douyin,Brand Ad,36-45 Male,46683.54,1665987,43706,5288,1657643.4,28.02,0.0262,0.121,1.07,8.83,35.51,22,evening
CMP_20240101_011,2024-01-01,Xigua,Search Ad,26-35 Male,22330.23,1361969,33767,2707,1409141.52,16.4,0.0248,0.0802,0.66,8.25,63.1,4,late night
CMP_20240101_012,2024-01-01,Toutiao,Brand Ad,18-25 Male,29294.53,2126759,49803,2392,892541.58,13.77,0.0234,0.048,0.59,12.25,30.47,3,late night
CMP_20240101_013,2024-01-01,Toutiao,Search Ad,46-55 User,25363.44,1229000,15162,1247,590255.03,20.64,0.0123,0.0823,1.67,20.34,23.27,1,late night
CMP_20240101_014,2024-01-01,Toutiao,Search Ad,36-45 Female,26435.94,1018986,21598,1538,942613.74,25.94,0.0212,0.0712,1.22,17.19,35.66,22,evening
CMP_20240101_015,2024-01-01,Douyin,In-feed Ad,18-25 Male,15257.08,648074,21915,2879,350234.24,23.54,0.0338,0.1314,0.7,5.3,22.96,8,morning
CMP_20240101_016,2024-01-01,Toutiao,Search Ad,18-25 Male,7435.02,427254,12070,631,186815.07,17.4,0.0283,0.0523,0.62,11.78,25.13,16,afternoon
CMP_20240101_017,2024-01-01,Toutiao,In-feed Ad,18-25 Female,38610.55,2408866,84891,7265,1505382.54,16.03,0.0352,0.0856,0.45,5.31,38.99,16,afternoon
CMP_20240101_018,2024-01-01,Toutiao,Splash Ad,26-35 Female,4904.71,298007,8008,545,145651.45,16.46,0.0269,0.0681,0.61,9.0,29.7,5,late night
CMP_20240101_019,2024-01-01,Xigua,Video Ad,46-55 User,27610.21,1747238,42710,4325,1868861.66,15.8,0.0244,0.1013,0.65,6.38,67.69,10,morning
CMP_20240101_020,2024-01-01,Xigua,In-feed Ad,18-25 Male,13944.18,930586,20054,1427,374276.1,14.98,0.0216,0.0712,0.7,9.77,26.84,2,late night
CMP_20240101_021,2024-01-01,Xigua,Brand Ad,26-35 Female,24000.36,1622757,44383,3853,1701814.86,14.79,0.0274,0.0868,0.54,6.23,70.91,17,afternoon
CMP_20240102_001,2024-01-02,Xigua,Splash Ad,26-35 Male,11085.05,749026,21622,1883,570184.63,14.8,0.0289,0.0871,0.51,5.89,51.44,11,morning
CMP_20240102_002,2024-01-02,Douyin,Search Ad,55+ User,33489.57,1537587,25284,2296,1111042.99,21.78,0.0164,0.0908,1.32,14.59,33.18,23,evening
CMP_20240102_003,2024-01-02,Douyin,Video Ad,26-35 Male,47103.57,1533977,63050,6081,1769048.88,30.71,0.0411,0.0965,0.75,7.75,37.56,17,afternoon
CMP_20240102_004,2024-01-02,Toutiao,Splash Ad,18-25 Female,28600.12,1275005,28586,2035,426056.21,22.43,0.0224,0.0712,1.0,14.05,14.9,19,evening
CMP_20240102_005,2024-01-02,Xigua,Brand Ad,18-25 Male,13549.88,655196,17358,1267,255503.77,20.68,0.0265,0.073,0.78,10.69,18.86,5,late night
CMP_20240102_006,2024-01-02,Douyin,Brand Ad,36-45 Female,45774.45,1932398,42915,5038,2228997.02,23.69,0.0222,0.1174,1.07,9.09,48.7,15,afternoon
